word,usage,in_sentences,tier,why,act,jit,frames,recording,source,alias_of
不要_S,53,,severe,severe 抓不到手,0.1111,0.01475,108,0598_不要_S.json,twtsl:598,
台東,53,,ok,,0.6117,0.02269,120,desk0912_台東.json,desk0912:混合來源-2026-09-12,
不知道_N,50,,poor,poor 偵測率低,0.534,0.01842,103,0593_不知道_N.json,twtsl:593,
不知道_S,50,,poor,poor 偵測率低,0.3077,0.01734,104,0594_不知道_S.json,twtsl:594,
屏東_B,50,,severe,severe 抓不到手,0.0111,0.02483,90,1637_屏東_B.json,twtsl:1637,
屏東_A,50,,severe,severe 抓不到手,0.0723,0.02039,83,1638_屏東_A.json,twtsl:1638,
運動_A,50,,poor,poor 偵測率低,0.4599,0.02423,137,1621_運動_A.json,twtsl:1621,
運動_B,50,,poor,poor 偵測率低,0.3678,0.02545,87,2031_運動_B.json,twtsl:2031,
台中_A,49,,severe,severe 抓不到手,0.0214,0.01825,140,2139_台中_A.json,twtsl:2139,
台中_B,49,,poor,poor 偵測率低,0.3615,0.01393,130,2140_台中_B.json,twtsl:2140,
菜,49,,ok,,0.9399,0.0164,125,desk0912_菜.json,desk0912:混合來源-2026-09-12,
菜_N,49,,poor,poor 偵測率低,0.472,0.0164,125,2363_菜_N.json,twtsl:2363,
菜_S,49,,severe,severe 抓不到手,0.2389,0.02539,113,2364_菜_S.json,twtsl:2364,
情形,49,,poor,poor 抖動 jit>0.05,0.8261,0.05037,23,moc_G4D2P1.json,moc:G4D2P1,
約_B,48,,poor,poor 偵測率低,0.4795,0.01862,73,0090_約_B.json,twtsl:90,
約_A,48,,severe,severe 抓不到手,0.0091,0.01552,110,1645_約_A.json,twtsl:1645,
上課_A,48,,poor,poor 偵測率低,0.307,0.01513,114,2777_上課_A.json,twtsl:2777,
上課_B,48,,poor,poor 偵測率低,0.3119,0.01898,109,2778_上課_B.json,twtsl:2778,
上課_C,48,,poor,poor 偵測率低,0.3274,0.01999,113,2779_上課_C.json,twtsl:2779,
不是_A,47,,poor,poor 偵測率低,0.5366,0.02334,82,1454_不是_A.json,twtsl:1454,
美國_A,45,,poor,poor 偵測率低,0.4085,0.01192,142,2331_美國_A.json,twtsl:2331,
美國,45,,poor,poor 偵測率低,0.4085,0.01192,142,2331_美國_A.json,twtsl:2331,
南投,45,,poor,poor 偵測率低,0.4412,0.03735,136,pn_0529_南投縣1.json,placename:529,南投縣
舒服_A,44,,poor,poor 偵測率低,0.3431,0.02001,102,0431_舒服_A.json,twtsl:431,
回家_A,44,,severe,severe 抓不到手,0.1714,0.021,105,0890_回家_A.json,twtsl:890,
回家_B,44,,severe,severe 抓不到手,0.1359,0.02068,103,0891_回家_B.json,twtsl:891,
高鐵_A,44,,poor,poor 偵測率低,0.3605,0.02429,86,2593_高鐵_A.json,twtsl:2593,
高鐵_B,44,,poor,poor 偵測率低,0.4344,0.01479,122,2594_高鐵_B.json,twtsl:2594,
考試_N,43,,poor,poor 偵測率低,0.3972,0.02274,141,2193_考_N.json,twtsl:2193,
考試_S,43,,severe,severe 抓不到手,0.0075,0.02436,133,2194_考_S.json,twtsl:2194,
金門,42,,poor,poor 偵測率低,0.5769,0.04393,130,pn_0508_金門縣.json,placename:508,金門縣
嘉義_A(地名),40,,severe,severe 抓不到手,0.0855,0.02275,117,0367_嘉義_A(地名).json,twtsl:367,
