word,usage,main_tier,main_act,main_frames,main_recording,main_source,variants
抓,12,ok,0.8571,35,moc_G4D11P2.json,moc:G4D11P2,抓_A:poor:0.3034 抓_B:severe:0.0308
聞,12,ok,0.8676,68,twtsl2_聞.json,twtsl:rescan-2026-09,聞_B:severe:0.0 聞_A:severe:0.0517
興趣,12,ok,0.8571,35,moc_G3D2P1.json,moc:G3D2P1,興趣_N:poor:0.3761 興趣_S:poor:0.3396
記錄,12,ok,0.7917,48,moc_G1D2.json,moc:G1D2,記錄_B:severe:0.0693 記錄_A:severe:0.1346
厲害,12,ok,0.7037,81,twtsl2_厲害.json,twtsl:rescan-2026-09,厲害_B:severe:0.0725 厲害_A:severe:0.0505
支持,12,ok,0.7895,19,moc_G2D5P2.json,moc:G2D5P2,支持_A:severe:0.1571 支持_B:severe:0.0152
聽障,12,ok,0.8571,14,moc_G2D3P2.json,moc:G2D3P2,聽障_A:poor:0.4222 聽障_B:severe:0.011
一半,12,ok,1.0,29,moc_G2D3P2.json,moc:G2D3P2,一半_A:severe:0.2326 一半_B:severe:0.125
果,12,ok,0.907,43,moc_G1C32_L.json,moc:G1C32,
一律,12,ok,0.8723,47,moc_G1D16P2.json,moc:G1D16P2,
花,12,ok,1.0,39,moc_G1D1P2.json,moc:G1D1P2,
這裡,12,ok,0.9608,51,moc_G1D1P2.json,moc:G1D1P2,
男人,12,ok,1.0,27,moc_G1D15P1.json,moc:G1D15P1,
回來,12,ok,0.8095,21,moc_G1D3P1.json,moc:G1D3P1,
借,12,ok,0.9286,14,moc_G1D3P1.json,moc:G1D3P1,
參觀,12,ok,1.0,16,moc_G1D3P3.json,moc:G1D3P3,
越來越少,12,ok,0.8913,46,moc_G1D4P2.json,moc:G1D4P2,
手,12,ok,0.8387,31,moc_G1D8P2.json,moc:G1D8P2,
個人,12,ok,1.0,23,moc_G2C21_R.json,moc:corpus-gapfill,
告訴我,12,ok,1.0,30,moc_G2D11P1.json,moc:G2D11P1,
大約,12,ok,1.0,26,moc_G2D6P1.json,moc:G2D6P1,
講述,12,ok,0.8833,60,moc_G2D7P2.json,moc:G2D7P2,
幾點,12,ok,0.7742,93,moc_G2D13P2.json,moc:G2D13P2,
斷掉,12,ok,1.0,19,moc_G2D2P3.json,moc:G2D2P3,
辯論,12,ok,1.0,109,moc_G2D3P1.json,moc:G2D3P1,
能力,12,ok,1.0,61,moc_G2D3P1.json,moc:G2D3P1,
平板,12,ok,0.6136,44,moc_G2D9P1.json,moc:G2D9P1,
打架,12,ok,1.0,19,moc_G2D9P1.json,moc:G2D9P1,
二十四小時,12,ok,1.0,32,moc_G3C26_L.json,moc:G3C26,
外公,12,ok,0.6286,35,moc_G3D12P1.json,moc:G3D12P1,
計劃,12,ok,0.8421,38,moc_G3D10P1.json,moc:G3D10P1,
收藏,12,ok,0.8953,86,moc_G3D16P2.json,moc:G3D16P2,
搭車,12,ok,0.8254,63,moc_G3D3P3.json,moc:G3D3P3,
跑馬燈,12,ok,1.0,53,moc_G3D3P3.json,moc:G3D3P3,
重視,12,ok,1.0,47,moc_G3D3P5.json,moc:G3D3P5,
平安,12,ok,0.9179,134,moc_G3D3P5.json,moc:G3D3P5,
除外,12,ok,0.9459,74,moc_G3D4P4.json,moc:G3D4P4,
民眾,12,ok,0.9608,51,moc_G3D1P1.json,moc:G3D1P1,
按時,12,ok,0.866,97,moc_G3D2P3.json,moc:G3D2P3,
交通,12,ok,1.0,55,moc_G3D3P1.json,moc:G3D3P1,
一星期,12,ok,0.6618,68,moc_G3D9P2.json,moc:G3D9P2,
清潔,12,ok,0.9091,22,moc_G4D2P1.json,moc:G4D2P1,
對話,12,ok,1.0,45,moc_G4D8P3.json,moc:G4D8P3,
機車,12,ok,1.0,47,moc_G4D6P1.json,moc:G4D6P1,
想到,12,ok,0.9756,41,moc_G4D3P1.json,moc:G4D3P1,
詞彙,12,ok,1.0,50,moc_I5P1_L.json,moc:corpus-gapfill,
中華民國,12,ok,0.9833,60,moc_I4P5_L.json,moc:I4P5,
躺著,12,ok,1.0,24,moc_I3P2_L.json,moc:I3P2,
先生,12,ok,0.9493,138,twtsl2_先生.json,twtsl:rescan-2026-09,
六個月,12,ok,0.8739,119,twtsl2_六個月.json,twtsl:rescan-2026-09,
客人,12,ok,0.7658,111,twtsl2_客人.json,twtsl:rescan-2026-09,
火車站,12,ok,0.6967,366,twtsl2_火車站.json,twtsl:rescan-2026-09,
