鍵,檔名,決定,理由,現用片,現用act,現用指節抖動°,現用手掌px,現用播放秒,新片act,新片指節抖動°,新片手掌px,新片播放秒,新片寫入區段
知道,知道.mp4,換新片,平手，指節抖動 17.0°→8.4°,gs0911_知道.json,1.0,17.02,90.4,1.566,1.0,8.38,185.9,1.634,1.484-3.318
累,累.mp4,換新片,平手，指節抖動 4.7°→2.4°,moc_G2D3P2.json,0.9714,4.72,76.4,1.32,0.9919,2.43,145.0,2.034,2.301-4.702
聽,聽.mp4,換新片,平手，指節抖動 3.9°→3.2°,moc_G2D1P1.json,1.0,3.86,95.6,0.3,0.9796,3.23,197.8,1.601,1.317-3.285
餓,肚子餓.mp4,換新片,平手，指節抖動 9.0°→2.4°,gs0911_餓.json,1.0,9.0,86.3,1.267,1.0,2.36,168.5,1.801,1.484-3.719
台中,臺中.mp4,換新片,平手，指節抖動 10.4°→4.1°,gs0911_台中.json,0.9737,10.37,55.2,1.2,0.9833,4.08,148.0,1.968,1.751-4.152
臺中,臺中.mp4,換新片,act +0.09,moc_G4D2P1.json,0.8929,5.29,70.1,1.04,0.9833,4.08,148.0,1.968,1.751-4.152
台北,臺北.mp4,換新片,act +0.09,moc_G4D15P1.json,0.907,3.44,60.0,0.684,1.0,2.05,182.2,2.168,1.451-4.002
臺北,臺北.mp4,換新片,平手，指節抖動 2.9°→2.0°,moc_G4D4P3.json,1.0,2.91,52.4,0.583,1.0,2.05,182.2,2.168,1.451-4.002
花蓮,花蓮.mp4,換新片,平手，指節抖動 6.8°→5.9°,gs0911_花蓮.json,0.9718,6.76,70.8,2.3,1.0,5.86,179.0,2.251,1.801-4.402
要,要.mp4,換新片,平手，指節抖動 2.4°→1.9°,gs0911_要.json,1.0,2.36,90.5,1.367,1.0,1.94,177.4,1.617,1.634-3.602
說,説.mp4,換新片,平手，指節抖動 4.1°→2.5°,moc_G3D2P2.json,1.0,4.12,83.4,0.45,1.0,2.54,197.3,1.701,1.651-3.719
請,請.mp4,換新片,平手，指節抖動 2.0°→1.4°,gs0911_請.json,0.9661,2.0,99.2,1.9,1.0,1.43,219.0,2.085,1.601-4.052
謝謝,謝謝.mp4,換新片,平手，指節抖動 7.8°→2.8°,desk0912_謝謝.json,0.9919,7.83,39.2,2.099,1.0,2.83,49.0,2.551,1.117-3.952
感謝,謝謝.mp4,換新片,平手，指節抖動 7.8°→2.8°,desk0912_謝謝.json,0.9919,7.83,39.2,2.099,1.0,2.83,49.0,2.551,1.117-3.952
貴,貴.mp4,維持,平手，指節抖動 3.4°→4.2°,gs0911_貴.json,1.0,3.4,31.3,1.333,1.0,4.25,107.0,1.084,1.317-2.801
高雄,高雄.mp4,換新片,平手，指節抖動 2.7°→2.0°,gs0911_高雄.json,0.9298,2.72,88.9,1.834,0.9675,2.02,195.9,2.018,1.701-4.068
